dataset,fold_id,score,endpoint,n_tasks,spearman
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,directional_risk_frozen,error_centered_pearson_mean,128,0.7248027193096109
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,directional_risk_frozen,error_centered_cosine_mean,128,0.7476352066777252
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,directional_risk_frozen,direction_error_rank_target,128,0.7372371288271392
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,baseline_predicted_magnitude,error_centered_pearson_mean,128,0.22479857169016662
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,baseline_predicted_magnitude,error_centered_cosine_mean,128,0.2686149514740889
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,baseline_predicted_magnitude,direction_error_rank_target,128,0.24894808800050952
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,risk_model_disagreement,error_centered_pearson_mean,128,-0.059850531038271385
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,risk_model_disagreement,error_centered_cosine_mean,128,-0.04765610694012085
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,risk_model_disagreement,direction_error_rank_target,128,-0.05022282956432472
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,safeconf_calibrated_pair_risk,error_centered_pearson_mean,128,-0.4728587239346139
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,safeconf_calibrated_pair_risk,error_centered_cosine_mean,128,-0.4638581327069431
Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,safeconf_calibrated_pair_risk,direction_error_rank_target,128,-0.4666270820970686
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,directional_risk_frozen,error_centered_pearson_mean,128,0.7713894948421376
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,directional_risk_frozen,error_centered_cosine_mean,128,0.7659072834142324
Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,directional_risk_frozen,direction_error_rank_target,128,0.7696751710288425
